# Tests d'attentes sur macbookpro DATE: 2017-01-19 HEURE: 10:13:49
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 1 threads.
  #_CHRONO_#   soit 10000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  1 209  #_CHRONO_#  209 ms.  pour 1  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 2 threads.
  #_CHRONO_#   soit 5000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  2 32986  #_CHRONO_#  32986 ms.  pour 2  threads
  #_CHRONO_#   Date du test : 19/01/17 10:14 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999999 actions avec 3 threads.
  #_CHRONO_#   soit 3333333 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  3 36200  #_CHRONO_#  36200 ms.  pour 3  threads
  #_CHRONO_#   Date du test : 19/01/17 10:15 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 4 threads.
  #_CHRONO_#   soit 2500000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  4 35172  #_CHRONO_#  35172 ms.  pour 4  threads
  #_CHRONO_#   Date du test : 19/01/17 10:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 5 threads.
  #_CHRONO_#   soit 2000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  5 36248  #_CHRONO_#  36248 ms.  pour 5  threads
  #_CHRONO_#   Date du test : 19/01/17 10:16 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999996 actions avec 6 threads.
  #_CHRONO_#   soit 1666666 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  6 35257  #_CHRONO_#  35257 ms.  pour 6  threads
  #_CHRONO_#   Date du test : 19/01/17 10:17 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 9999997 actions avec 7 threads.
  #_CHRONO_#   soit 1428571 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  7 36634  #_CHRONO_#  36634 ms.  pour 7  threads
  #_CHRONO_#   Date du test : 19/01/17 10:17 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 10000000 actions avec 8 threads.
  #_CHRONO_#   soit 1250000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: F
  8 35487  #_CHRONO_#  35487 ms.  pour 8  threads
