# Tests d'attentes sur macbookpro DATE: 2017-01-18 HEURE: 11:13:15
  #_CHRONO_#   Date du test : 18/01/17 11:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 1000000 actions avec 1 threads.
  #_CHRONO_#   soit 1000000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  1 33  #_CHRONO_#  33 ms.  pour 1  threads
  #_CHRONO_#   Date du test : 18/01/17 11:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 1000000 actions avec 2 threads.
  #_CHRONO_#   soit 500000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  2 1978  #_CHRONO_#  1978 ms.  pour 2  threads
  #_CHRONO_#   Date du test : 18/01/17 11:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 999999 actions avec 3 threads.
  #_CHRONO_#   soit 333333 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  3 5650  #_CHRONO_#  5650 ms.  pour 3  threads
  #_CHRONO_#   Date du test : 18/01/17 11:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 1000000 actions avec 4 threads.
  #_CHRONO_#   soit 250000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  4 6601  #_CHRONO_#  6601 ms.  pour 4  threads
  #_CHRONO_#   Date du test : 18/01/17 11:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 1000000 actions avec 5 threads.
  #_CHRONO_#   soit 200000 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
  5 9867  #_CHRONO_#  9867 ms.  pour 5  threads
  #_CHRONO_#   Date du test : 18/01/17 11:13 sur une machine avec 8 coeurs.
  #_CHRONO_#   Temps de calcul en ms. 
  #_CHRONO_#   pour 999996 actions avec 6 threads.
  #_CHRONO_#   soit 166666 actions par thread.
  #_CHRONO_#   Mode d'action adopté: S
